trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,Adulto ida,Básico,Elige,Elige Confort,Prémium
00437,04040,71801,Renfe,ALVIA,2025-11-17 19:52:00,2025-11-17 22:13:00,0 days 02:21:00,00437_17-11-2025-19.52,,35.6,41.5,71.0,
00437,78400,71801,Renfe,ALVIA,2025-11-17 20:58:00,2025-11-17 22:13:00,0 days 01:15:00,00437_17-11-2025-19.52,,30.25,34.55,57.45,
00437,04104,71801,Renfe,ALVIA,2025-11-17 21:32:00,2025-11-17 22:13:00,0 days 00:41:00,00437_17-11-2025-19.52,,23.1,26.4,43.9,
00437,04040,71801,Renfe,ALVIA,2025-11-18 19:52:00,2025-11-18 22:13:00,0 days 02:21:00,00437_18-11-2025-19.52,,35.6,41.5,55.2,
00437,78400,71801,Renfe,ALVIA,2025-11-18 20:58:00,2025-11-18 22:13:00,0 days 01:15:00,00437_18-11-2025-19.52,,30.25,34.55,45.95,
00437,04104,71801,Renfe,ALVIA,2025-11-18 21:32:00,2025-11-18 22:13:00,0 days 00:41:00,00437_18-11-2025-19.52,,23.1,26.4,35.1,
00437,04040,71801,Renfe,ALVIA,2025-11-19 19:52:00,2025-11-19 22:13:00,0 days 02:21:00,00437_19-11-2025-19.52,,35.6,41.5,55.2,
00437,78400,71801,Renfe,ALVIA,2025-11-19 20:58:00,2025-11-19 22:13:00,0 days 01:15:00,00437_19-11-2025-19.52,,30.25,34.55,45.95,
00437,04104,71801,Renfe,ALVIA,2025-11-19 21:32:00,2025-11-19 22:13:00,0 days 00:41:00,00437_19-11-2025-19.52,,23.1,26.4,35.1,
00437,04040,71801,Renfe,ALVIA,2025-11-20 19:52:00,2025-11-20 22:13:00,0 days 02:21:00,00437_20-11-2025-19.52,,35.6,41.5,63.1,
00437,78400,71801,Renfe,ALVIA,2025-11-20 20:58:00,2025-11-20 22:13:00,0 days 01:15:00,00437_20-11-2025-19.52,,30.25,34.55,51.7,
00437,04104,71801,Renfe,ALVIA,2025-11-20 21:32:00,2025-11-20 22:13:00,0 days 00:41:00,00437_20-11-2025-19.52,,23.1,26.4,39.5,
00437,04040,71801,Renfe,ALVIA,2025-11-21 19:52:00,2025-11-21 22:13:00,0 days 02:21:00,00437_21-11-2025-19.52,,35.6,41.5,86.75,
00437,78400,71801,Renfe,ALVIA,2025-11-21 20:58:00,2025-11-21 22:13:00,0 days 01:15:00,00437_21-11-2025-19.52,,30.25,34.55,68.95,
00437,04104,71801,Renfe,ALVIA,2025-11-21 21:32:00,2025-11-21 22:13:00,0 days 00:41:00,00437_21-11-2025-19.52,,23.1,26.4,52.65,
00437,04040,71801,Renfe,ALVIA,2025-11-22 19:52:00,2025-11-22 22:13:00,0 days 02:21:00,00437_22-11-2025-19.52,,35.6,41.5,55.2,
00437,78400,71801,Renfe,ALVIA,2025-11-22 20:58:00,2025-11-22 22:13:00,0 days 01:15:00,00437_22-11-2025-19.52,,30.25,34.55,45.95,
00437,04104,71801,Renfe,ALVIA,2025-11-22 21:32:00,2025-11-22 22:13:00,0 days 00:41:00,00437_22-11-2025-19.52,,23.1,26.4,35.1,
00437,04040,71801,Renfe,ALVIA,2025-11-23 19:52:00,2025-11-23 22:13:00,0 days 02:21:00,00437_23-11-2025-19.52,,71.15,77.1,86.75,
00437,78400,71801,Renfe,ALVIA,2025-11-23 20:58:00,2025-11-23 22:13:00,0 days 01:15:00,00437_23-11-2025-19.52,,56.15,60.5,68.95,
00437,04104,71801,Renfe,ALVIA,2025-11-23 21:32:00,2025-11-23 22:13:00,0 days 00:41:00,00437_23-11-2025-19.52,,42.9,46.2,52.65,
00437,04040,71801,Renfe,ALVIA,2025-11-24 19:52:00,2025-11-24 22:13:00,0 days 02:21:00,00437_24-11-2025-19.52,,35.6,41.5,71.0,
00437,78400,71801,Renfe,ALVIA,2025-11-24 20:58:00,2025-11-24 22:13:00,0 days 01:15:00,00437_24-11-2025-19.52,,30.25,34.55,51.7,
00437,04104,71801,Renfe,ALVIA,2025-11-24 21:32:00,2025-11-24 22:13:00,0 days 00:41:00,00437_24-11-2025-19.52,,23.1,26.4,39.5,
00437,04040,71801,Renfe,ALVIA,2025-11-25 19:52:00,2025-11-25 22:13:00,0 days 02:21:00,00437_25-11-2025-19.52,,35.6,41.5,55.2,
00437,78400,71801,Renfe,ALVIA,2025-11-25 20:58:00,2025-11-25 22:13:00,0 days 01:15:00,00437_25-11-2025-19.52,,30.25,34.55,45.95,
00437,04104,71801,Renfe,ALVIA,2025-11-25 21:32:00,2025-11-25 22:13:00,0 days 00:41:00,00437_25-11-2025-19.52,,23.1,26.4,35.1,
00437,04040,71801,Renfe,ALVIA,2025-11-26 19:52:00,2025-11-26 22:13:00,0 days 02:21:00,00437_26-11-2025-19.52,,35.6,41.5,63.1,
00437,78400,71801,Renfe,ALVIA,2025-11-26 20:58:00,2025-11-26 22:13:00,0 days 01:15:00,00437_26-11-2025-19.52,,30.25,34.55,51.7,
00437,04104,71801,Renfe,ALVIA,2025-11-26 21:32:00,2025-11-26 22:13:00,0 days 00:41:00,00437_26-11-2025-19.52,,23.1,26.4,39.5,
00437,04040,71801,Renfe,ALVIA,2025-11-27 19:52:00,2025-11-27 22:13:00,0 days 02:21:00,00437_27-11-2025-19.52,,35.6,41.5,63.1,
00437,78400,71801,Renfe,ALVIA,2025-11-27 20:58:00,2025-11-27 22:13:00,0 days 01:15:00,00437_27-11-2025-19.52,,30.25,34.55,51.7,
00437,04104,71801,Renfe,ALVIA,2025-11-27 21:32:00,2025-11-27 22:13:00,0 days 00:41:00,00437_27-11-2025-19.52,,23.1,26.4,39.5,
00437,04040,71801,Renfe,ALVIA,2025-11-28 19:52:00,2025-11-28 22:13:00,0 days 02:21:00,00437_28-11-2025-19.52,,35.6,41.5,86.75,
00437,78400,71801,Renfe,ALVIA,2025-11-28 20:58:00,2025-11-28 22:13:00,0 days 01:15:00,00437_28-11-2025-19.52,,30.25,34.55,68.95,
00437,04104,71801,Renfe,ALVIA,2025-11-28 21:32:00,2025-11-28 22:13:00,0 days 00:41:00,00437_28-11-2025-19.52,,23.1,26.4,48.3,
00437,04040,71801,Renfe,ALVIA,2025-11-29 19:52:00,2025-11-29 22:13:00,0 days 02:21:00,00437_29-11-2025-19.52,,35.6,41.5,55.2,
00437,78400,71801,Renfe,ALVIA,2025-11-29 20:58:00,2025-11-29 22:13:00,0 days 01:15:00,00437_29-11-2025-19.52,,30.25,34.55,45.95,
00437,04104,71801,Renfe,ALVIA,2025-11-29 21:32:00,2025-11-29 22:13:00,0 days 00:41:00,00437_29-11-2025-19.52,,23.1,26.4,35.1,
00437,04040,71801,Renfe,ALVIA,2025-11-30 19:52:00,2025-11-30 22:13:00,0 days 02:21:00,00437_30-11-2025-19.52,,71.15,77.1,86.75,
