trip_id,origin,destination,train_type,departure,arrival,duration,service_id,Basico,Elige,Premium
03211,60000,71801,AVE,2023-06-01 21:10:00,2023-06-01 23:40:00,0 days 02:30:00,03211_01-06-2023-21.10,39.80,51.15,79.50
03093,60000,79300,AVE,2023-06-01 09:30:00,2023-06-01 13:23:00,0 days 03:53:00,03093_01-06-2023-09.30,,143.40,162.40
03123,60000,79300,AVE,2023-06-01 12:30:00,2023-06-01 16:28:00,0 days 03:58:00,03123_01-06-2023-12.30,59.90,71.90,98.65
19725,60000,79300,AVE,2023-06-01 13:25:00,2023-06-01 17:12:00,0 days 03:47:00,19725_01-06-2023-13.25,71.90,83.85,
03143,60000,79300,AVE,2023-06-01 14:30:00,2023-06-01 18:08:00,0 days 03:38:00,03143_01-06-2023-14.30,,175.25,194.25
03163,60000,79300,AVE,2023-06-01 16:30:00,2023-06-01 20:11:00,0 days 03:41:00,03163_01-06-2023-16.30,,143.40,162.40
03191,60000,79300,AVE,2023-06-01 19:00:00,2023-06-01 22:18:00,0 days 03:18:00,03191_01-06-2023-19.00,98.20,112.25,186.95
06309,60000,79300,AVLO,2023-06-01 19:30:00,2023-06-01 23:34:00,0 days 04:04:00,06309_01-06-2023-19.30,45.00,,
03093,60000,04307,AVE,2023-06-01 09:30:00,2023-06-01 13:40:00,0 days 04:10:00,03093_01-06-2023-09.30,,145.55,164.55
03123,60000,04307,AVE,2023-06-01 12:30:00,2023-06-01 16:45:00,0 days 04:15:00,03123_01-06-2023-12.30,60.80,72.95,99.85
19725,60000,04307,AVE,2023-06-01 13:25:00,2023-06-01 17:29:00,0 days 04:04:00,19725_01-06-2023-13.25,72.95,85.10,
03143,60000,04307,AVE,2023-06-01 14:30:00,2023-06-01 18:25:00,0 days 03:55:00,03143_01-06-2023-14.30,,177.90,196.90
03163,60000,04307,AVE,2023-06-01 16:30:00,2023-06-01 20:28:00,0 days 03:58:00,03163_01-06-2023-16.30,,145.55,164.55
03191,60000,04307,AVE,2023-06-01 19:00:00,2023-06-01 22:35:00,0 days 03:35:00,03191_01-06-2023-19.00,99.40,113.60,188.95
06309,60000,04307,AVLO,2023-06-01 19:30:00,2023-06-01 23:51:00,0 days 04:21:00,06309_01-06-2023-19.30,45.00,,
03393,70200,70600,AVE,2023-06-01 19:28:00,2023-06-01 20:05:00,0 days 00:37:00,03393_01-06-2023-19.28,11.25,14.45,40.35
03203,70200,70600,AVE,2023-06-01 21:04:00,2023-06-01 21:40:00,0 days 00:36:00,03203_01-06-2023-21.04,15.05,20.05,59.00
03073,70200,04040,AVE,2023-06-01 07:54:00,2023-06-01 08:51:00,0 days 00:57:00,03073_01-06-2023-07.54,31.95,38.35,70.00
19725,70200,04040,AVE,2023-06-01 13:50:00,2023-06-01 14:47:00,0 days 00:57:00,19725_01-06-2023-13.50,38.35,44.75,
03173,70200,04040,AVE,2023-06-01 17:54:00,2023-06-01 18:51:00,0 days 00:57:00,03173_01-06-2023-17.54,51.10,57.50,87.00
03393,70200,04040,AVE,2023-06-01 19:28:00,2023-06-01 20:30:00,0 days 01:02:00,03393_01-06-2023-19.28,16.00,20.55,46.35
06309,70200,04040,AVLO,2023-06-01 19:54:00,2023-06-01 20:55:00,0 days 01:01:00,06309_01-06-2023-19.54,35.00,,
03203,70200,04040,AVE,2023-06-01 21:04:00,2023-06-01 22:05:00,0 days 01:01:00,03203_01-06-2023-21.04,16.00,22.35,61.50
03073,70200,78400,AVE,2023-06-01 07:54:00,2023-06-01 09:35:00,0 days 01:41:00,03073_01-06-2023-07.54,42.15,50.60,86.25
03173,70200,78400,AVE,2023-06-01 17:54:00,2023-06-01 19:35:00,0 days 01:41:00,03173_01-06-2023-17.54,67.45,75.85,108.70
06309,70200,78400,AVLO,2023-06-01 19:54:00,2023-06-01 21:39:00,0 days 01:45:00,06309_01-06-2023-19.54,35.00,,
03203,70200,78400,AVE,2023-06-01 21:04:00,2023-06-01 22:49:00,0 days 01:45:00,03203_01-06-2023-21.04,21.10,29.50,75.05
03073,70200,71500,AVE,2023-06-01 07:54:00,2023-06-01 10:04:00,0 days 02:10:00,03073_01-06-2023-07.54,47.45,56.95,94.75
19725,70200,71500,AVE,2023-06-01 13:50:00,2023-06-01 15:44:00,0 days 01:54:00,19725_01-06-2023-13.50,56.95,66.45,
03173,70200,71500,AVE,2023-06-01 17:54:00,2023-06-01 20:04:00,0 days 02:10:00,03173_01-06-2023-17.54,75.90,85.40,119.95
06309,70200,71500,AVLO,2023-06-01 19:54:00,2023-06-01 22:08:00,0 days 02:14:00,06309_01-06-2023-19.54,35.00,,
03203,70200,71500,AVE,2023-06-01 21:04:00,2023-06-01 23:18:00,0 days 02:14:00,03203_01-06-2023-21.04,23.75,33.20,82.10
03073,70200,71801,AVE,2023-06-01 07:54:00,2023-06-01 10:42:00,0 days 02:48:00,03073_01-06-2023-07.54,53.40,64.10,104.25
19725,70200,71801,AVE,2023-06-01 13:50:00,2023-06-01 16:22:00,0 days 02:32:00,19725_01-06-2023-13.50,64.10,74.75,
03173,70200,71801,AVE,2023-06-01 17:54:00,2023-06-01 20:42:00,0 days 02:48:00,03173_01-06-2023-17.54,85.45,96.10,132.65
06309,70200,71801,AVLO,2023-06-01 19:54:00,2023-06-01 22:46:00,0 days 02:52:00,06309_01-06-2023-19.54,35.00,,
03203,70200,71801,AVE,2023-06-01 21:04:00,2023-06-01 23:55:00,0 days 02:51:00,03203_01-06-2023-21.04,26.70,37.40,90.00
19725,70200,79300,AVE,2023-06-01 13:50:00,2023-06-01 17:12:00,0 days 03:22:00,19725_01-06-2023-13.50,69.85,81.50,
06309,70200,79300,AVLO,2023-06-01 19:54:00,2023-06-01 23:34:00,0 days 03:40:00,06309_01-06-2023-19.54,45.00,,
19725,70200,04307,AVE,2023-06-01 13:50:00,2023-06-01 17:29:00,0 days 03:39:00,19725_01-06-2023-13.50,71.00,82.80,
06309,70200,04307,AVLO,2023-06-01 19:54:00,2023-06-01 23:51:00,0 days 03:57:00,06309_01-06-2023-19.54,45.00,,
03063,70600,04040,AVE,2023-06-01 07:26:00,2023-06-01 07:51:00,0 days 00:25:00,03063_01-06-2023-07.26,37.90,41.70,69.40
03113,70600,04040,AVE,2023-06-01 12:26:00,2023-06-01 12:51:00,0 days 00:25:00,03113_01-06-2023-12.26,37.90,41.70,69.40
03143,70600,04040,AVE,2023-06-01 15:26:00,2023-06-01 15:51:00,0 days 00:25:00,03143_01-06-2023-15.26,37.90,41.70,84.55
03153,70600,04040,AVE,2023-06-01 16:26:00,2023-06-01 16:51:00,0 days 00:25:00,03153_01-06-2023-16.26,37.90,41.70,69.40
03393,70600,04040,AVE,2023-06-01 20:06:00,2023-06-01 20:30:00,0 days 00:24:00,03393_01-06-2023-20.06,18.40,20.25,43.45
06309,70600,04040,AVLO,2023-06-01 20:30:00,2023-06-01 20:55:00,0 days 00:25:00,06309_01-06-2023-20.30,19.00,,
03203,70600,04040,AVE,2023-06-01 21:41:00,2023-06-01 22:05:00,0 days 00:24:00,03203_01-06-2023-21.41,37.90,41.70,69.40
03113,70600,78400,AVE,2023-06-01 12:26:00,2023-06-01 13:35:00,0 days 01:09:00,03113_01-06-2023-12.26,42.90,49.05,84.20
03153,70600,78400,AVE,2023-06-01 16:26:00,2023-06-01 17:35:00,0 days 01:09:00,03153_01-06-2023-16.26,36.80,42.90,67.90
06309,70600,78400,AVLO,2023-06-01 20:30:00,2023-06-01 21:39:00,0 days 01:09:00,06309_01-06-2023-20.30,35.00,,
03203,70600,78400,AVE,2023-06-01 21:41:00,2023-06-01 22:49:00,0 days 01:08:00,03203_01-06-2023-21.41,18.40,24.50,67.90
03113,70600,71500,AVE,2023-06-01 12:26:00,2023-06-01 14:04:00,0 days 01:38:00,03113_01-06-2023-12.26,44.15,51.50,87.50
03153,70600,71500,AVE,2023-06-01 16:26:00,2023-06-01 18:04:00,0 days 01:38:00,03153_01-06-2023-16.26,36.80,44.15,67.95
06309,70600,71500,AVLO,2023-06-01 20:30:00,2023-06-01 22:08:00,0 days 01:38:00,06309_01-06-2023-20.30,35.00,,
03203,70600,71500,AVE,2023-06-01 21:41:00,2023-06-01 23:18:00,0 days 01:37:00,03203_01-06-2023-21.41,18.40,25.75,67.95
03063,70600,71801,AVE,2023-06-01 07:26:00,2023-06-01 09:20:00,0 days 01:54:00,03063_01-06-2023-07.26,21.90,30.65,71.45
