ADIF_ID;RENFE_ID;STATION_NAME;LATITUD;LONGITUD;DIRECION;CP;POBLACION;PROVINCIA;PAIS;CERCANIAS;FEVE;COMUN
60106;60106;SESEÑA;40.095994;-3.628755;;;SESEÑA;MADRID;ESPAÑA;SI;NO;
60107;60107;SAN CRISTOBAL DE LOS ANGELES;40.3408068;-3.6839943;Carretera de Andalucia, Km 10.700;28021;MADRID;MADRID;ESPAÑA;SI;NO;
60109;60109;EL CASAR;40.3186333;-3.7100083;Avenida del Casar, S/N;28903;GETAFE;MADRID;ESPAÑA;SI;NO;
60115;60115;PARQ. OCIO;40.23367;-3.596236;;;SAN MARTÍN DE LA VEGA;MADRID;ESPAÑA;SI;NO;
60116;60116;S.MAR.VEGA;40.219056;-3.567248;;;SAN MARTÍN DE LA VEGA;MADRID;ESPAÑA;SI;NO;
60200;60200;ARANJUEZ;40.0348585;-3.6182315;Paseo Estacion Ferrocarril, S/N;28300;ARANJUEZ;MADRID;ESPAÑA;SI;NO;
60201;60201;LAS INFANTAS (APD-CGD);39.995709;-3.682401;;;ARANJUEZ;MADRID;ESPAÑA;NO;NO;
60202;60202;CASTILLEJO-AÑOVER;39.949634;-3.738774;Carretera M-416 - Añover-Yepes - Estacion Ferrocarril, S/N;28300;ARANJUEZ;MADRID;ESPAÑA;NO;NO;
60203;60203;VILLASEQUILLA;39.879535;-3.728453;Paseo Estacion Ferrocarril, S/N;45740;VILLASEQUILLA;TOLEDO;ESPAÑA;NO;NO;
60204;60204;HUERTA DE VALDECARABANOS;39.818272;-3.646432;;;HUERTA DE VALDECARÁBANOS;TOLEDO;ESPAÑA;NO;NO;
60205;60205;EL CASAR DE LA GUARDIA (APD);39.768411;-3.575458;;;GUARDIA (LA);TOLEDO;ESPAÑA;NO;NO;
60206;60206;TEMBLEQUE;39.722958;-3.497354;Calle Camino de la Celadilla, S/N;45770;TEMBLEQUE;TOLEDO;ESPAÑA;NO;NO;
60207;60207;EL ROMERAL;39.694516;-3.430502;Plaza Esquina del Cristino, S/N;45770;ROMERAL (EL);TOLEDO;ESPAÑA;NO;NO;
60300;60300;VILLACAÑAS;39.622698;-3.33051;Paseo Estacion Ferrocarril, S/N;45860;VILLACAÑAS;TOLEDO;ESPAÑA;NO;NO;
60301;60301;QUERO;39.504173;-3.266072;Carretera Estacion Ferrocarril, S/N;45790;QUERO;TOLEDO;ESPAÑA;NO;NO;
60400;60400;ALCÁZAR DE SAN JUAN;39.395628;-3.205744;Calle Alvarez Guerra, S/N;13600;ALCÁZAR DE SAN JUAN;CIUDAD REAL;ESPAÑA;NO;NO;
