service_id,trip_id,train_type,departure,arrival,duration
03183_06-02-2023-18.30,03183,AVE,2023-02-06 18:30:00,2023-02-06 21:20:00,2:50
03191_06-02-2023-19.00,03191,AVE,2023-02-06 19:00:00,2023-02-06 21:30:00,2:30
03201_06-02-2023-20.00,03201,AVE,2023-02-06 20:00:00,2023-02-06 22:30:00,2:30
03203_06-02-2023-20.40,03203,AVE,2023-02-06 20:40:00,2023-02-06 23:55:00,3:15
03211_06-02-2023-21.10,03211,AVE,2023-02-06 21:10:00,2023-02-06 23:40:00,2:30
03063_07-02-2023-06.30,03063,AVE,2023-02-07 06:30:00,2023-02-07 09:20:00,2:50
03071_07-02-2023-07.00,03071,AVE,2023-02-07 07:00:00,2023-02-07 09:30:00,2:30
03073_07-02-2023-07.30,03073,AVE,2023-02-07 07:30:00,2023-02-07 10:42:00,3:12
03081_07-02-2023-08.00,03081,AVE,2023-02-07 08:00:00,2023-02-07 10:30:00,2:30
03083_07-02-2023-08.30,03083,AVE,2023-02-07 08:30:00,2023-02-07 11:15:00,2:45
03091_07-02-2023-09.00,03091,AVE,2023-02-07 09:00:00,2023-02-07 11:30:00,2:30
03093_07-02-2023-09.30,03093,AVE,2023-02-07 09:30:00,2023-02-07 12:37:00,3:7
03113_07-02-2023-11.30,03113,AVE,2023-02-07 11:30:00,2023-02-07 14:42:00,3:12
03123_07-02-2023-12.30,03123,AVE,2023-02-07 12:30:00,2023-02-07 15:40:00,3:10
03131_07-02-2023-13.00,03131,AVE,2023-02-07 13:00:00,2023-02-07 15:30:00,2:30
19725_07-02-2023-13.25,19725,AVE,2023-02-07 13:25:00,2023-02-07 16:22:00,2:57
03143_07-02-2023-14.30,03143,AVE,2023-02-07 14:30:00,2023-02-07 17:20:00,2:50
03153_07-02-2023-15.30,03153,AVE,2023-02-07 15:30:00,2023-02-07 18:42:00,3:12
03161_07-02-2023-16.00,03161,AVE,2023-02-07 16:00:00,2023-02-07 18:30:00,2:30
03163_07-02-2023-16.30,03163,AVE,2023-02-07 16:30:00,2023-02-07 19:15:00,2:45
03171_07-02-2023-17.00,03171,AVE,2023-02-07 17:00:00,2023-02-07 19:30:00,2:30
03173_07-02-2023-17.30,03173,AVE,2023-02-07 17:30:00,2023-02-07 20:42:00,3:12
03183_07-02-2023-18.30,03183,AVE,2023-02-07 18:30:00,2023-02-07 21:20:00,2:50
03191_07-02-2023-19.00,03191,AVE,2023-02-07 19:00:00,2023-02-07 21:30:00,2:30
03201_07-02-2023-20.00,03201,AVE,2023-02-07 20:00:00,2023-02-07 22:30:00,2:30
03203_07-02-2023-20.40,03203,AVE,2023-02-07 20:40:00,2023-02-07 23:55:00,3:15
03211_07-02-2023-21.10,03211,AVE,2023-02-07 21:10:00,2023-02-07 23:40:00,2:30
03063_08-02-2023-06.30,03063,AVE,2023-02-08 06:30:00,2023-02-08 09:20:00,2:50
03071_08-02-2023-07.00,03071,AVE,2023-02-08 07:00:00,2023-02-08 09:30:00,2:30
03073_08-02-2023-07.30,03073,AVE,2023-02-08 07:30:00,2023-02-08 10:42:00,3:12
03081_08-02-2023-08.00,03081,AVE,2023-02-08 08:00:00,2023-02-08 10:30:00,2:30
03083_08-02-2023-08.30,03083,AVE,2023-02-08 08:30:00,2023-02-08 11:15:00,2:45
03091_08-02-2023-09.00,03091,AVE,2023-02-08 09:00:00,2023-02-08 11:30:00,2:30
03093_08-02-2023-09.30,03093,AVE,2023-02-08 09:30:00,2023-02-08 12:37:00,3:7
03113_08-02-2023-11.30,03113,AVE,2023-02-08 11:30:00,2023-02-08 14:42:00,3:12
03123_08-02-2023-12.30,03123,AVE,2023-02-08 12:30:00,2023-02-08 15:40:00,3:10
03131_08-02-2023-13.00,03131,AVE,2023-02-08 13:00:00,2023-02-08 15:30:00,2:30
19725_08-02-2023-13.25,19725,AVE,2023-02-08 13:25:00,2023-02-08 16:22:00,2:57
03143_08-02-2023-14.30,03143,AVE,2023-02-08 14:30:00,2023-02-08 17:20:00,2:50
03153_08-02-2023-15.30,03153,AVE,2023-02-08 15:30:00,2023-02-08 18:42:00,3:12
03161_08-02-2023-16.00,03161,AVE,2023-02-08 16:00:00,2023-02-08 18:30:00,2:30
03163_08-02-2023-16.30,03163,AVE,2023-02-08 16:30:00,2023-02-08 19:15:00,2:45
03171_08-02-2023-17.00,03171,AVE,2023-02-08 17:00:00,2023-02-08 19:30:00,2:30
03173_08-02-2023-17.30,03173,AVE,2023-02-08 17:30:00,2023-02-08 20:42:00,3:12
03183_08-02-2023-18.30,03183,AVE,2023-02-08 18:30:00,2023-02-08 21:20:00,2:50
03191_08-02-2023-19.00,03191,AVE,2023-02-08 19:00:00,2023-02-08 21:30:00,2:30
03201_08-02-2023-20.00,03201,AVE,2023-02-08 20:00:00,2023-02-08 22:30:00,2:30
