service_id,0,1,2
03183_10-02-2023-18.30,90.95,102.35,140.00
03191_10-02-2023-19.00,40.25,53.70,161.80
06309_10-02-2023-19.30,49.00,,
03201_10-02-2023-20.00,67.10,80.30,99.30
03203_10-02-2023-20.40,90.95,102.35,140.00
03211_10-02-2023-21.10,17.05,39.80,109.75
06301_11-02-2023-06.15,39.00,,
03073_11-02-2023-07.30,17.05,39.80,140.00
03083_11-02-2023-08.30,68.20,79.60,109.75
03091_11-02-2023-09.00,33.55,46.95,161.80
03093_11-02-2023-09.30,90.95,102.35,140.00
06303_11-02-2023-10.30,39.00,,
03113_11-02-2023-11.30,22.75,39.80,140.00
03123_11-02-2023-12.30,56.85,68.20,109.75
19725_11-02-2023-13.25,17.05,39.80,109.75
03153_11-02-2023-15.30,17.05,39.80,140.00
03163_11-02-2023-16.30,68.20,79.60,109.75
03173_11-02-2023-17.30,17.05,39.80,140.00
06307_11-02-2023-18.00,35.00,,
03183_11-02-2023-18.30,79.60,90.95,140.00
06309_11-02-2023-19.30,,,
03203_11-02-2023-20.40,17.05,39.80,140.00
06301_12-02-2023-06.15,9.00,,
03073_12-02-2023-07.30,17.05,39.80,109.75
03083_12-02-2023-08.30,56.85,68.05,87.05
03093_12-02-2023-09.30,28.45,39.80,155.10
06303_12-02-2023-10.30,55.00,,
03113_12-02-2023-11.30,,136.10,155.10
03123_12-02-2023-12.30,102.35,113.70,140.00
03131_12-02-2023-13.00,80.50,93.95,126.10
19725_12-02-2023-13.25,90.95,102.35,140.00
03143_12-02-2023-14.30,90.95,102.35,140.00
03153_12-02-2023-15.30,,136.10,155.10
03161_12-02-2023-16.00,120.80,134.20,161.80
03163_12-02-2023-16.30,102.35,113.70,140.00
03171_12-02-2023-17.00,107.35,120.80,161.80
03173_12-02-2023-17.30,102.35,113.70,140.00
06307_12-02-2023-18.00,89.00,,
03183_12-02-2023-18.30,102.35,113.70,140.00
03191_12-02-2023-19.00,107.35,120.80,179.65
06309_12-02-2023-19.30,89.00,,
03201_12-02-2023-20.00,93.95,107.35,143.95
03203_12-02-2023-20.40,102.35,113.70,140.00
03211_12-02-2023-21.10,136.45,147.80,185.35
06301_13-02-2023-06.15,35.00,,
03063_13-02-2023-06.30,17.05,39.80,140.00
03071_13-02-2023-07.00,93.95,107.35,143.95
17050_13-02-2023-07.15,43.25,,
03073_13-02-2023-07.30,79.60,90.95,124.85
03081_13-02-2023-08.00,107.35,120.80,161.80
03083_13-02-2023-08.30,79.60,90.95,124.85
03091_13-02-2023-09.00,20.15,46.95,161.80
03093_13-02-2023-09.30,90.95,102.35,140.00
06303_13-02-2023-10.30,35.00,,
03113_13-02-2023-11.30,22.75,39.80,140.00
03123_13-02-2023-12.30,56.85,68.20,109.75
03131_13-02-2023-13.00,53.70,67.10,90.40
19725_13-02-2023-13.25,56.85,68.20,94.60
03143_13-02-2023-14.30,17.05,39.80,185.35
03151_13-02-2023-15.00,20.15,46.95,143.95
03153_13-02-2023-15.30,56.85,68.05,87.05
03161_13-02-2023-16.00,80.50,93.95,126.10
03163_13-02-2023-16.30,56.85,68.20,124.85
03171_13-02-2023-17.00,20.15,46.95,161.80
03173_13-02-2023-17.30,90.95,102.35,140.00
06307_13-02-2023-18.00,39.00,,
03183_13-02-2023-18.30,90.95,102.35,140.00
03191_13-02-2023-19.00,93.95,107.35,143.95
06309_13-02-2023-19.30,9.00,,
03201_13-02-2023-20.00,67.10,80.30,99.30
03203_13-02-2023-20.40,17.05,39.80,140.00
03211_13-02-2023-21.10,17.05,39.80,71.95
06301_14-02-2023-06.15,15.00,,
03063_14-02-2023-06.30,45.50,56.85,87.05
03071_14-02-2023-07.00,80.50,93.95,126.10
17050_14-02-2023-07.15,43.25,,
03073_14-02-2023-07.30,17.05,39.80,124.85
03081_14-02-2023-08.00,93.95,107.35,143.95
03083_14-02-2023-08.30,79.60,90.95,124.85
03091_14-02-2023-09.00,20.15,46.95,143.95
03093_14-02-2023-09.30,79.60,90.95,124.85
06303_14-02-2023-10.30,29.00,,
03113_14-02-2023-11.30,17.05,39.80,109.75
03123_14-02-2023-12.30,56.85,68.20,94.60
03131_14-02-2023-13.00,20.15,46.95,143.95
19725_14-02-2023-13.25,39.80,51.15,87.05
03143_14-02-2023-14.30,45.50,56.85,109.75
03151_14-02-2023-15.00,20.15,46.95,143.95
03153_14-02-2023-15.30,79.60,90.95,124.85
03161_14-02-2023-16.00,80.50,93.95,126.10
03163_14-02-2023-16.30,79.60,90.95,140.00
03171_14-02-2023-17.00,93.95,107.35,143.95
03173_14-02-2023-17.30,17.05,39.80,140.00
06307_14-02-2023-18.00,29.00,,
03183_14-02-2023-18.30,79.60,90.95,124.85
03191_14-02-2023-19.00,93.95,107.35,143.95
06309_14-02-2023-19.30,25.00,,
03201_14-02-2023-20.00,53.70,67.10,90.40
03203_14-02-2023-20.40,17.05,39.80,71.95
03211_14-02-2023-21.10,17.05,39.80,71.95
06301_15-02-2023-06.15,9.00,,
03063_15-02-2023-06.30,45.50,56.85,79.50
03071_15-02-2023-07.00,80.50,93.95,126.10
17050_15-02-2023-07.15,43.25,,
03073_15-02-2023-07.30,17.05,39.80,124.85
03081_15-02-2023-08.00,107.35,120.80,161.80
03083_15-02-2023-08.30,79.60,90.95,124.85
03091_15-02-2023-09.00,20.15,46.95,161.80
03093_15-02-2023-09.30,79.60,90.95,124.85
06303_15-02-2023-10.30,29.00,,
03113_15-02-2023-11.30,17.05,39.80,109.75
03123_15-02-2023-12.30,68.20,79.60,109.75
03131_15-02-2023-13.00,80.50,93.95,126.10
19725_15-02-2023-13.25,56.85,68.05,87.05
03143_15-02-2023-14.30,17.05,39.80,140.00
03151_15-02-2023-15.00,20.15,46.95,126.10
03153_15-02-2023-15.30,79.60,90.95,124.85
03161_15-02-2023-16.00,67.10,80.30,99.30
03163_15-02-2023-16.30,79.60,90.95,140.00
03171_15-02-2023-17.00,93.95,107.35,143.95
03173_15-02-2023-17.30,17.05,39.80,140.00
06307_15-02-2023-18.00,35.00,,
03183_15-02-2023-18.30,79.60,90.95,140.00
03191_15-02-2023-19.00,93.95,107.35,143.95
06309_15-02-2023-19.30,29.00,,
03201_15-02-2023-20.00,46.95,60.40,99.30
03203_15-02-2023-20.40,17.05,39.80,71.95
03211_15-02-2023-21.10,17.05,39.80,87.05
06301_16-02-2023-06.15,25.00,,
03063_16-02-2023-06.30,17.05,39.80,140.00
03071_16-02-2023-07.00,80.50,93.95,126.10
17050_16-02-2023-07.15,43.25,,
03073_16-02-2023-07.30,17.05,39.80,124.85
03081_16-02-2023-08.00,80.50,93.95,126.10
03083_16-02-2023-08.30,79.60,90.95,124.85
03091_16-02-2023-09.00,20.15,46.95,126.10
03093_16-02-2023-09.30,90.95,102.35,140.00
06303_16-02-2023-10.30,39.00,,
03113_16-02-2023-11.30,28.45,39.80,124.85
03123_16-02-2023-12.30,56.85,68.05,87.05
03131_16-02-2023-13.00,67.10,80.50,143.95
19725_16-02-2023-13.25,68.20,68.05,87.05
